"Bitcoin Diamond
(BCD)","1.74
USD" 
"DAPS Token
(DAPS)","0.000260
USD"
"TenX
(PAY)","0.567910
USD"
"Game.com
(GTC)","0.024945
USD"
"DecentBet
(DBET)","0.043610
USD"
"YEE
(YEE)","0.005452
USD"
"VINchain
(VIN)","0.013264
USD"
"SureRemit
(RMT)","0.009140
USD"
"Waves
(WAVES)","1.96
USD"
"SONM
(SNM)","0.057621
USD"
"UTRUST
(UTK)","0.035208
USD"
"Cosmo Coin
(COSM)","0.026403
USD"
"Distributed Credit Chain
(DCC)","0.006235
USD"
"Iconomi
(ICN)","0.364397
USD"
"Safe Exchange Coin
(SAFEX)","0.011556
USD"
"Docademic
(MTC)","0.034817
USD"
"Credo
(CREDO)","0.051710
USD"
"DMarket
(DMT)","0.437046
USD"
"DACSEE
(DACS)","0.005572
USD"
"Experience Points
 (XP)","0.000017
USD"
"Gold Bits Coin
(GBC)","0.123642
USD"
"VeChain
(VET)","0.011494
USD"
"Ignis
(IGNIS)","0.039934
USD"
"ION
(ION)","0.577920
USD"
"Dropil
(DROP)","0.003149
USD"
"HalalChain
(HLC)","0.019676
USD"
"Ulord
(UT)","0.116926
USD"
"Playgroundz
(IOG)","0.363876
USD"
"Dignity
(DIG)","0.038099
USD"
"Zebi
(ZCO)","0.012199
USD"
"Enjin Coin
(ENJ)","0.052651
USD"
"Fusion
(FSN)","0.797418
USD"
"Spectre.ai Dividend Token
(SXDT)","0.130092
USD"
"Tierion
(TNT)","0.031598
USD"
"BlackCoin
(BLK)","0.063746
USD"
"ICON
(ICX)","0.692896
USD"
"Moneytoken
(IMT)","0.000934
USD"
"Novacoin
(NVC)","3.58
USD"
"GoChain
(GO)","0.045677
USD"
"Hydro Protocol
(HOT)","0.010521
USD"
"IHT Real Estate Protocol
(IHT)","0.026009
USD"
"NANJCOIN
(NANJ)","0.000462
USD"
"INO COIN
(INO)","0.346241
USD"
"MASTERNET
(MASH)","0.145064
USD"
"Neblio
(NEBL)","1.96
USD"
"Request Network
(REQ)","0.063600
USD"
"Cryptaur
(CPT)","0.002996
USD"
"WePower
(WPR)","0.030425
USD"
"NKN
(NKN)","0.051111
USD"
"Status
(SNT)","0.035843
USD"
"Lina
(LINA)","0.086314
USD"
"Huobi Token
(HT)","1.63
USD"
"Syscoin
(SYS)","0.098444
USD"
"FuzeX
(FXT)","0.014878
USD"
"LATOKEN
(LA)","0.078870
USD"
"Modum
(MOD)","0.973660
USD"
"CyberVein
(CVT)","0.016651
USD"
"Metronome
(MET)","1.43
USD"
"Cred
(LBA)","0.041615
USD"
"Content Neutrality Network
(CNN)","0.000482
USD"
"Bibox Token
(BIX)","0.349559
USD"
"adToken
(ADT)","0.014627
USD"
"Aston
(ATX)","0.019059
USD"
"TrustNote
(TTT)","0.013200
USD"
"Egretia
(EGT)","0.001388
USD"
"DigixDAO
(DGD)","46.90
USD"
"Humaniq
 (HMQ)","0.027436
USD"
"Bodhi
(BOT)","0.102341
USD"
"Stellite
(XTL)","0.000645
USD"
"GridCoin
(GRC)","0.010004
USD"
"LGO Exchange
(LGO)","0.084669
USD"
"Power Ledger
(POWR)","0.183750
USD"
"BOScoin
(BOS)","0.050997
USD"
"Groestlcoin
(GRS)","0.545633
USD"
"Bismuth
(BIS)","0.599735
USD"
"Mozo Token
(MOZO)","0.004329
USD"
"CloakCoin
(CLOAK)","2.62
USD"
"Gulden
(NLG)","0.023905
USD"
"Bitcoin Private
(BTCP)","2.45
USD"
"Primas
(PST)","0.225623
USD"
"OneRoot Network
(RNT)","0.083474
USD"
"Litecoin
(LTC)","53.37
USD"
"PAYCENT
(PYN)","0.131447
USD"
"Internet Node Token
(INT)","0.029345
USD"
"Golos
(GOLOS)","0.027115
USD"
"Theta Token
(THETA)","0.088119
USD"
"Nerves
(NER)","0.001302
USD"
"Smartlands
(SLT)","2.39
USD"
"Pillar
(PLR)","0.109502
USD"
"FunFair
(FUN)","0.014673
USD"
"MediShares
(MDS)","0.018251
USD"
"Pundi X
(NPXS)","0.001516
USD"
"Zcash
(ZEC)","125.81
USD"
"Polybius
(PLBT)","1.54
USD"
"Ivy
(IVY)","0.014618
USD"
"Viberate
(VIB)","0.046882
USD"
"CyberMiles
(CMT)","0.120684
USD"
"Ethersocial
(ESN)","0.170236
USD"
"PACcoin
($PAC)","0.002171
USD"
"Shivom
(OMX)","0.004839
USD"
"SingularDTV
(SNGLS)","0.025825
USD"
"SophiaTX
(SPHTX)","0.067565
USD"
"CoinPoker
(CHP)","0.009835
USD"
"Pascal Coin
(PASC)","0.379494
USD"
"Remme
(REM)","0.006842
USD"
"TokenCard
(TKN)","0.463389
USD"
"Etheroll
(DICE)","0.452719
USD"
"POA Network
(POA)","0.105646
USD"
"Einsteinium
(EMC2)","0.090923
USD"
"Skycoin
(SKY)","3.57
USD"
"Incent
(INCNT)","0.079509
USD"
"Bean Cash
(BITB)","0.003008
USD"
"CargoX
(CXO)","0.020585
USD"
"Byteball Bytes
(GBYTE)","42.99
USD"
"CanYaCoin
(CAN)","0.050598
USD"
"Rubycoin
(RBY)","0.232079
USD"
"Bounty0x
(BNTY)","0.009458
USD"
"Musicoin
(MUSIC)","0.003614
USD"
"DomRaider
(DRT)","0.006008
USD"
"Clipper Coin
(CCCX)","0.002004
USD"
"EXRNchain
(EXRN)","0.000030
USD"
"Decision Token
(HST)","0.114277
USD"
"Friendz
(FDZ)","0.004068
USD"
"Cardstack
(CARD)","0.001811
USD"
"Namecoin
(NMC)","0.610540
USD"
"TrueChain
(TRUE)","0.445890
USD"
"Energi
(NRG)","0.438183
USD"
"SCRL
(SCRL)","0.067815
USD"
"The Abyss
(ABYSS)","0.011053
USD"
"BrahmaOS
(BRM)","0.005268
USD"
"KickCoin
(KICK)","0.022081
USD"
"BitDegree
(BDG)","0.005541
USD"
"Universa
(UTNP)","0.004407
USD"
"Trinity Network Credit
(TNC)","0.009806
USD"
"Nebula AI
(NBAI)","0.002015
USD"
"IXT
(IXT)","0.071781
USD"
"Presearch
(PRE)","0.054915
USD"
"Bottos
(BTO)","0.038323
USD"
"NAGA
(NGC)","0.227164
USD"
"Vipstar Coin
(VIPS)","0.000356
USD"
"ZCoin
(XZC)","10.82
USD"
"NPER
(NPER)","0.037842
USD"
"AI Doctor
(AIDOC)","0.011594
USD"
"Zeepin
(ZPT)","0.022433
USD"
"IDEX Membership
(IDXM)","817.76
USD"
"Sprouts
(SPRTS)","9.5e-08
USD"
"COPYTRACK
(CPY)","0.045842
USD"
"Cpollo
(CPLO)","0.000249
USD"
"NoLimitCoin
(NLC2)","0.014800
USD"
"CYCLEAN
(CCL)","0.005713
USD"
"Seele
(SEELE)","0.021730
USD"
"EchoLink
(EKO)","0.008532
USD"
"WABnetwork
(WAB)","0.000451
USD"
"Own
(CHX)","0.036836
USD"
"OneLedger
(OLT)","0.007487
USD"
"Gene Source Code Chain
(GENE)","0.006137
USD"
"Project Coin
(PRJ)","0.772740
USD"
"UChain
(UCN)","0.005071
USD"
"FarmaTrust
(FTT)","0.003280
USD"
"LogisCoin
(LGS)","4.91
USD"
"Republic Protocol
(REN)","0.029166
USD"
"Ryo Currency
(RYO)","0.141285
USD"
"StrongHands
(SHND)","1.5e-07
USD"
"NuBits
(USNBT)","0.100803
USD"
"DAV Coin
(DAV)","0.004745
USD"
"CoinFi
(COFI)","0.013380
USD"
"GoldCoin
(GLD)","0.029193
USD"
"Ink Protocol
(XNK)","0.017146
USD"
"Tether
(USDT)","0.982509
USD"
"2GIVE
(2GIVE)","0.002973
USD"
"Anoncoin
(ANC)","1.55
USD"
"Tolar
(TOL)","0.017414
USD"
"Helbiz
(HBZ)","0.002591
USD"
"Clams
(CLAM)","1.51
USD"
"Vezt
(VZT)","0.043164
USD"
"DeviantCoin
(DEV)","0.256430
USD"
"PRIZM
(PZM)","0.209791
USD"
"Freyrchain
(FREC)","0.002325
USD"
"EncryptoTel [WAVES]
(ETT)","0.014299
USD"
"Miners' Reward Token
(MRT)","0.109347
USD"
"ZelCash
(ZEL)","0.062383
USD"
"Capricoin
(CPC)","0.949784
USD"
"Forkcoin
(FORK)","0.467038
USD"
"EBCoin
(EBC)","0.001098
USD"
"MetaMorph
(METM)","0.015342
USD"
"AdHive
(ADH)","0.012702
USD"
"SALT
(SALT)","0.744691
USD"
"ZPER
(ZPR)","0.004518
USD"
"Silent Notary
(SNTR)","0.000026
USD"
"HollyWoodCoin
(HWC)","0.148611
USD"
"Sumokoin
(SUMO)","0.120824
USD"
"Rentberry
(BERRY)","0.006513
USD"
"JET8
(J8T)","0.002716
USD"
"4NEW
(KWATT)","0.034529
USD"
"CanonChain
(CZR)","0.006288
USD"
"PetroDollar
(XPD)","0.018953
USD"
"SounDAC
(XSD)","0.159817
USD"
"Alt.Estate token
(ALT)","0.001123
USD"
"Auroracoin
(AUR)","0.120795
USD"
"Semux
(SEM)","0.487773
USD"
"NaPoleonX
(NPX)","0.193573
USD"
"Proxeus
(XES)","0.016291
USD"
"ArtByte
(ABY)","0.002838
USD"
"Colu Local Network
(CLN)","0.015740
USD"
"Hexx
(HXX)","0.786445
USD"
"Coinvest
(COIN)","0.248803
USD"
"Hacken
(HKN)","0.603630
USD"
"Elixir
(ELIX)","0.029663
USD"
"Origin Sport
(ORS)","0.018310
USD"
"SRCOIN
(SRCOIN)","0.000621
USD"
"DopeCoin
(DOPE)","0.008302
USD"
"EUNOMIA
(ENTS)","0.000045
USD"
"indaHash
(IDH)","0.006106
USD"
"Cardano
(ADA)","0.076456
USD"
"Arbidex
(ABX)","0.063573
USD"
"Curecoin
(CURE)","0.072262
USD"
"Ethereum Monero
(EXMR)","0.055621
USD"
"Energycoin
(ENRG)","0.006913
USD"
"Omni
(OMNI)","3.49
USD"
"Datum
(DAT)","0.004107
USD"
"SkinCoin
(SKIN)","0.010473
USD"
"OKCash
(OK)","0.031540
USD"
"Monkey Project
(MONK)","0.217038
USD"
"DAOstack
(GEN)","0.091736
USD"
"HOLD
(HOLD)","0.001534
USD"
"Denarius
(DNR)","0.301121
USD"
"Eroscoin
(ERO)","0.020733
USD"
"Spectre.ai Utility Token
(SXUT)","0.087956
USD"
"On.Live
(ONL)","0.073427
USD"
"PumaPay
(PMA)","0.000332
USD"
"GeoCoin
(GEO)","1.15
USD"
"SolarCoin
(SLR)","0.059903
USD"
"TRONCLASSIC
(TRXC)","0.000003
USD"
"Dogecoin
(DOGE)","0.004530
USD"
"Fire Lotto
(FLOT)","0.047396
USD"
"nUSD
(NUSD)","0.988897
USD"
"HiCoin
(XHI)","0.000388
USD"
"POPCHAIN
(PCH)","0.007390
USD"
"Metal
(MTL)","0.694183
USD"
"Payfair
(PFR)","0.010291
USD"
"SelfSell
(SSC)","0.006819
USD"
"Experty
(EXY)","0.122484
USD"
"Myriad
(XMY)","0.003043
USD"
"Gems
(GEM)","0.003111
USD"
"Utrum
(OOT)","0.024143
USD"
"XPA
(XPA)","0.079787
USD"
"Streamr DATAcoin
(DATA)","0.039014
USD"
"Universal Currency
(UNIT)","0.069811
USD"
"NeosCoin
(NEOS)","0.388926
USD"
"VITE
(VITE)","0.035704
USD"
"Cruisebit
(CRBT)","0.071464
USD"
"EvenCoin
(EVN)","0.041463
USD"
"FUTURAX
(FTXT)","0.000256
USD"
"Enigma
(ENG)","0.602698
USD"
"FirstBlood
(1ST)","0.081009
USD"
"Energo
(TSL)","0.004864
USD"
"Soarcoin
(SOAR)","0.006784
USD"
"Tokenbox
(TBX)","0.058079
USD"
"Monero
(XMR)","103.91
USD"
"Bezant
(BZNT)","0.034436
USD"
"Bitcoin Token
(BTK)","0.000062
USD"
"Morpheus Labs
(MITX)","0.013102
USD"
"Dynamic
(DYN)","0.725662
USD"
"eBoost
(EBST)","0.048454
USD"
"Patientory
(PTOY)","0.031962
USD"
"XMax
(XMX)","0.000489
USD"
"Bee Token
(BEE)","0.008201
USD"
"Internxt
(INXT)","2.18
USD"
"Triggers
(TRIG)","0.119398
USD"
"Gold Poker
(GPKR)","0.658990
USD"
"savedroid
(SVD)","0.000725
USD"
"TransferCoin
(TX)","0.177623
USD"
"Darico Ecosystem Coin
(DEC)","0.071929
USD"
"Dotcoin
(DOT)","0.010466
USD"
"AurumCoin
(AU)","13.50
USD"
"TrueFlip
(TFL)","0.386972
USD"
"Syndicate
(SYNX)","0.058146
USD"
"NewYorkCoin
(NYC)","0.000010
USD"
"Apollon
(XAP)","0.010392
USD"

"Xriba
(XRA)","0.049504
USD"
"Ruff
(RUFF)","0.023402
USD"
"ATBCoin
(ATB)","0.021535
USD"
"Stox
(STX)","0.069192
USD"
"Webcoin
(WEB)","0.016882
USD"
"ShareX
(SEXC)","0.001084
USD"
"Stakenet
(XSN)","0.186560
USD"
"Nework
(NKC)","0.014947
USD"
"Debitum
(DEB)","0.012986
USD"
"FLIP
(FLP)","0.027317
USD"
"B3Coin
(KB3)","0.002002
USD"
"Edgeless
(EDG)","0.155301
USD"
"Mysterium
(MYST)","0.133605
USD"
"Welltrado
(WTL)","0.070785
USD"
"TRON
(TRX)","0.024188
USD"
"FoldingCoin
(FLDC)","0.003101
USD"
"Measurable Data Token
(MDT)","0.007081
USD"
"OWNDATA
(OWN)","0.000473
USD"
"Leverj
(LEV)","0.019557
USD"
"RealChain
(RCT)","0.003365
USD"
"TomoChain
(TOMO)","0.479246
USD"
"Maker
(MKR)","677.36
USD"
"I/O Coin
(IOC)","0.200601
USD"
"Travala
(AVA)","0.066338
USD"
"LiteDoge
(LDOGE)","0.000058
USD"
"Karma
(KRM)","0.001963
USD"
"Ethbits
(ETBS)","0.775268
USD"
"DPRating
(RATING)","0.000653
USD"
"LALA World
(LALA)","0.005160
USD"
"Thrive Token
(THRT)","0.007985
USD"
"Winding Tree
(LIF)","0.343060
USD"
"Nuls
(NULS)","1.12
USD"
"Eristica
(ERT)","0.005778
USD"
"TRAXIA
(TMT)","0.009957
USD"
"Daneel
(DAN)","0.035915
USD"
"SnowGem
(XSG)","0.074977
USD"
"DubaiCoin
(DBIX)","1.79
USD"
"Proton Token
(PTT)","0.000387
USD"
"ugChain
(UGC)","0.006709
USD"
"Autonio
(NIO)","0.032126
USD"
"Timicoin
(TMC)","0.034135
USD"
"Cryptopay
(CPAY)","0.024677
USD"
"MaxCoin
(MAX)","0.025842
USD"
"BitWhite
(BTW)","0.014110
USD"
"Olive
(OLE)","0.006775
USD"
"LOCIcoin
(LOCI)","0.022367
USD"
"BitRent
(RNTB)","0.001810
USD"
"Sharder
(SS)","0.008780
USD"
"Credit Tag Chain
(CTC)","0.038317
USD"
"Linda
(LINDA)","0.001295
USD"
"Peercoin
(PPC)","0.818607
USD"
"Privatix
(PRIX)","1.05
USD"
"Carboncoin
(CARBON)","0.000065
USD"
"0xcert
(ZXC)","0.004726
USD"
"Zeusshield
(ZSC)","0.004151
USD"
"Aventus
(AVT)","0.369920
USD"
"CashBet Coin
(CBC)","0.029475
USD"
"VouchForMe
(IPL)","0.010283
USD"
"AdShares
(ADST)","0.188110
USD"
"Pareto Network
(PARETO)","0.005327
USD"
"bitJob
(STU)","0.007231
USD"
"ZCore
(ZCR)","0.191028
USD"
"smARTOFGIVING
(AOG)","0.097936
USD"
"Dether
(DTH)","0.018829
USD"
"Radium
(RADS)","1.11
USD"
"VULCANO
(VULC)","0.011898
USD"
"AC3
(AC3)","0.041206
USD"
"AudioCoin
(ADC)","0.001039
USD"
"Gatcoin
(GAT)","0.003158
USD"
"Monoeci
(XMCC)","0.052748
USD"
"Kryll
(KRL)","0.080122
USD"
"Karbo
(KRB)","0.112956
USD"
"SunContract
(SNC)","0.032670
USD"
"Wispr
(WSP)","0.024828
USD"
"Bezop
(BEZ)","0.047478
USD"
"LocalCoinSwap
(LCS)","0.094712
USD"
"Tokia
(TKA)","0.008258
USD"
"Transcodium
(TNS)","0.004627
USD"
"Commodity Ad Network
(CDX)","0.008226
USD"
"Divi Exchange Token
(DIVX)","0.991722
USD"
"Suretly
(SUR)","1.38
USD"
"BitClave
(CAT)","0.002837
USD"
"Maverick Chain
(MVC)","0.008205
USD"
"SHIELD
(XSH)","0.005432
USD"
"RealTract
(RET)","0.000261
USD"
"Merculet
(MVP)","0.001116
USD"
"Noku
(NOKU)","0.142918
USD"
"Gainer
(GNR)","0.033682
USD"
"Omnitude
(ECOM)","0.072096
USD"
"Matryx
(MTX)","0.077556
USD"
"BitRewards
(BIT)","0.001357
USD"
"Bonpay
(BON)","0.052921
USD"
"Blue Protocol
(BLUE)","0.037752
USD"
"Tokes
(TKS)","0.458636
USD"
"Devery
(EVE)","0.021355
USD"
"Turtlecoin
(TRTL)","0.000036
USD"
"Pylon Network
(PYLNT)","1.40
USD"
"DigitalPrice
(DP)","0.018477
USD"
"Bit-Z Token
(BZ)","0.109394
USD"
"HOQU
(HQX)","0.005685
USD"
"CyberFM
(CYFM)","0.000019
USD"
"VeriCoin
(VRC)","0.106018
USD"
"Breakout Stake
(BRX)","0.241302
USD"
"EncrypGen
(DNA)","0.044519
USD"
"Naviaddress
(NAVI)","0.003039
USD"
"RightMesh
(RMESH)","0.057510
USD"
"AidCoin
(AID)","0.049995
USD"
"Nucleus Vision
(NCASH)","0.004822
USD"
"OP Coin
(OPC)","0.000249
USD"
"Atmos
(ATMOS)","0.014536
USD"
"InvestFeed
(IFT)","0.012531
USD"
"Bela
(BELA)","0.018264
USD"
"Regalcoin
(REC)","0.016869
USD"
"Unibright
(UBT)","0.013994
USD"
"Sether
(SETH)","0.094069
USD"
"Nexium
(NXC)","0.020100
USD"
"Orbis Token
(OBT)","0.026441
USD"
"Zetacoin
(ZET)","0.001842
USD"
"MyBit
(MYB)","0.022761
USD"
"LoMoCoin
(LMC)","0.006771
USD"
"Zero
(ZER)","0.242097
USD"
"Sentinel
(SENT)","0.001532
USD"
"ClearCoin
(XCLR)","0.002035
USD"
"Origami
(ORI)","0.061052
USD"
"Smartshare
(SSP)","0.000817
USD"
"Lendingblock
(LND)","0.004931
USD"
"Morpheus.Network
(MRPH)","0.131953
USD"
"MyWish
(WISH)","0.049100
USD"
"Bitsum
(BSM)","0.000336
USD"
"Sapien
(SPN)","0.003131
USD"
"Expanse
(EXP)","0.220903
USD"
"Indorse Token
(IND)","0.031830
USD"
"Parkgene
(GENE)","0.002907
USD"
"Soma
(SCT)","0.048884
USD"
"HUZU
(HUZU)","0.258967
USD"
"Rate3
(RTE)","0.007319
USD"
"Digiwage
(WAGE)","0.005740
USD"
"Abulaba
(AAA)","0.122792
USD"
"Monster Byte
(MBI)","0.032296
USD"
"0xBitcoin
(0xBTC)","0.272647
USD"
"Lightpaycoin
(LPC)","0.594697
USD"
"DOWCOIN
(DOW)","0.308311
USD"
"BunnyToken
(BUNNY)","0.004458
USD"
"Zippie
(ZIPT)","0.005702
USD"
"The ChampCoin
(TCC)","0.003505
USD"
"Quantstamp
(QSP)","0.042626
USD"
"Banyan Network
(BBN)","0.007641
USD"
"EventChain
(EVC)","0.027886
USD"
"Education Ecosystem
(LEDU)","0.010104
USD"
"VeriumReserve
(VRM)","0.534897
USD"
"Digital Asset Guarantee Token
(DAGT)","0.051611
USD"
"Russian Miner Coin
(RMC)","2469.87
USD"
"Blocknode
(BND)","0.003413
USD"
"Arionum
(ARO)","0.038763
USD"
"GoByte
(GBX)","0.768644
USD"
"IXTUS Edutainment
 (IXE)","0.040573
USD"
"RusGas
(RGS)","0.000200
USD"
"Aphelion
(APH)","0.048161
USD"
"Kore
(KORE)","0.441757
USD"
"Hush
(HUSH)","0.108731
USD"
"ATLANT
(ATL)","0.035431
USD"
"Matchpool
(GUP)","0.045372
USD"
"Playkey
(PKT)","0.109902
USD"
"SIBCoin
(SIB)","0.120553
USD"
"Yocoin
(YOC)","0.013033
USD"
"Veros
(VRS)","0.016726
USD"
"Paragon
(PRG)","0.039366
USD"
"Uquid Coin
(UQC)","0.161722
USD"
"AB-Chain RTB
(RTB)","0.035156
USD"
"Birake
(BIR)","0.042378
USD"
"More Coin
(MORE)","0.169748
USD"
"Polis
(POLIS)","0.795973
USD"
"DCORP Utility
(DRPU)","0.091061
USD"
"Zilla
(ZLA)","0.061816
USD"
"Memetic / PepeCoin
(MEME)","0.040120
USD"
"BlitzPredict
(XBP)","0.001296
USD"
"ALIS
(ALIS)","0.046165
USD"
"ZMINE
(ZMN)","0.022238
USD"
"AirToken
(AIR)","0.002199
USD"
"Bitcoin Incognito
(XBI)","0.149452
USD"
"ACE (TokenStars)
(ACE)","0.059741
USD"
"BitMart Token
(BMX)","0.027712
USD"
"HunterCoin
(HUC)","0.030688
USD"
"IQ.cash
(IQ)","0.078009
USD"
"EverGreenCoin
(EGC)","0.046072
USD"
"FREE Coin
(FREE)","0.000002
USD"
"Sharpe Platform Token
(SHP)","0.111361
USD"
"AMLT
(AMLT)","0.018421
USD"
"ATC Coin
(ATCC)","0.019077
USD"
"Bitcoin Plus
(XBC)","4.34
USD"
"Sharpay
(S)","0.001537
USD"
"Upfiring
(UFR)","0.050932
USD"
"CampusCoin
(CMPCO)","0.000711
USD"
"FedoraCoin
(TIPS)","0.000010
USD"
"BitCoen
(BEN)","0.076740
USD"
"Fluz Fluz
(FLUZ)","0.005587
USD"
"WeAreSatoshi
(WSX)","0.033143
USD"
"Snovian.Space
(SNOV)","0.005062
USD"
"Penguin Coin
(PENG)","0.000112
USD"
"Viuly
(VIU)","0.000267
USD"
"Atonomi
(ATMI)","0.007014
USD"
"LikeCoin
(LIKE)","0.002779
USD"
"Phonecoin
(PHON)","0.455855
USD"
"GoldMint
(MNTP)","0.490986
USD"
"RoBET
(ROBET)","0.581432
USD"
"Ormeus Coin
(ORME)","0.183513
USD"
"Cryptosolartech
(CST)","0.018771
USD"
"Traceability Chain
(TAC)","0.004635
USD"
"Faceter
(FACE)","0.003314
USD"
"Snetwork
(SNET)","0.023526
USD"
"SportyCo
(SPF)","0.016355
USD"
"FantasyGold
(FGC)","0.046215
USD"
"XcelToken
(XCEL)","0.018681
USD"
"Galactrum
(ORE)","0.245518
USD"
"Swarm City
(SWT)","0.252312
USD"
"SpreadCoin
(SPR)","0.017042
USD"
"Alphacat
(ACAT)","0.000781
USD"
"Zeitcoin
(ZEIT)","0.000048
USD"
"Equal
(EQL)","0.000777
USD"
"HeartBout
(HB)","0.028102
USD"
"Insights Network
(INSTAR)","0.012105
USD"
"Shard
(SHARD)","0.058739
USD"
"Effect.AI
(EFX)","0.011271
USD"
"Espers
(ESP)","0.000129
USD"
"Qbao
(QBT)","0.053062
USD"
"Intelligent Trading Foundation
(ITT)","0.021552
USD"
"Travelflex
(TRF)","0.011250
USD"
"ZINC
(ZINC)","0.064269
USD"
"Nullex
(NLX)","0.013171
USD"
"Crowd Machine
(CMCT)","0.003080
USD"
"ATMChain
(ATM)","0.000253
USD"
"BitSend
(BSD)","0.156419
USD"
"WandX
(WAND)","0.033395
USD"
"Pal Network
(PAL)","0.006247
USD"
"Blocktrade Token
 (BTT)","0.060745
USD"
"Pesetacoin
(PTC)","0.005352
USD"
"Narrative
(NRVE)","0.013204
USD"
"Ondori
(RSTR)","0.000103
USD"
"VikkyToken
(VIKKY)","0.000062
USD"
"NeuroChain
(NCC)","0.012264
USD"
"Flixxo
(FLIXX)","0.034428
USD"
"WeTrust
(TRST)","0.026916
USD"
"Sequence
(SEQ)","0.051620
USD"
"Pure
(PUREX)","0.016216
USD"
"Peculium
(PCL)","0.001373
USD"
"Stipend
(SPD)","0.110476
USD"
"Terracoin
(TRC)","0.034877
USD"
"ProChain
(PRA)","0.066151
USD"
"Condominium
(CDM)","0.001338
USD"
"Nimiq Exchange Token
(NET)","0.111741
USD"
"Creativecoin
(CREA)","0.024227
USD"
"IQeon
(IQN)","0.193156
USD"
"Akroma
(AKA)","0.043415
USD"
"MarteXcoin
(MXT)","0.096586
USD"
"HEROcoin
(PLAY)","0.012228
USD"
"Orbitcoin
(ORB)","0.140893
USD"
"Circuits of Value
(COVAL)","0.003230
USD"
"Publica
(PBL)","0.065688
USD"
"Lethean
(LTHN)","0.002966
USD"
"IGToken
(IG)","0.000110
USD"
"Auctus
(AUC)","0.034067
USD"
"Kora Network Token
(KNT)","0.004786
USD"
"Hashgard
(GARD)","0.000180
USD"
"Masari
(MSR)","0.290614
USD"
"Kalkulus
(KLKS)","0.026888
USD"
"ThoreCoin
(THR)","33.47
USD"
"MicroMoney
(AMM)","0.030153
USD"
"Social Send
(SEND)","0.046158
USD"
"Crowdholding
(YUP)","0.000976
USD"
"Solaris
(XLR)","2.19
USD"
"Earth Token
(EARTH)","0.000606
USD"
"Acute Angle Cloud
(AAC)","0.009910
USD"
"Crave
(CRAVE)","0.047240
USD"
"FORCE
(FOR)","0.003489
USD"
"No BS Crypto
(NOBS)","0.000840
USD"
"Datawallet
(DXT)","0.009183
USD"
"Sp8de
(SPX)","0.000125
USD"
"PinkCoin
(PINK)","0.005360
USD"
"Newton Coin Project
(NCP)","0.000004
USD"
"Xchange
(XCG)","0.133323
USD"
"Zap
(ZAP)","0.018355
USD"
"Sola Token
(SOL)","0.006857
USD"
"Jetcoin
(JET)","0.030623
USD"
"Guaranteed Ethurance Token Extra
(GETX)","0.003346
USD"
"Lampix
(PIX)","0.012276
USD"
"DxChain Token
(DX)","0.000333
USD"
"IP Exchange
(IPSX)","0.001364
USD"
"Pirl
(PIRL)","0.081174
USD"
"Internet of People
(IOP)","0.251626
USD"
"Rapids
(RPD)","0.000065
USD"
"Verify
(CRED)","0.058850
USD"
"Ignition
(IC)","0.259944
USD"
"EquiTrader
(EQT)","0.061138
USD"
"ALAX
(ALX)","0.006128
USD"
"BoutsPro
(BOUTS)","0.007961
USD"
"Pluton
(PLU)","1.43
USD"
04113
USD"
"PAXEX
(PAXEX)","0.007252
USD"
"Rupee
(RUP)","0.042383
USD"
"NetKoin
(NTK)","0.000139
USD"
"Ourcoin
(OUR)","0.258503
USD"
"RED
(RED)","0.023322
USD"
"KUN
(KUN)","4.55
USD"
"XGOX
(XGOX)","0.000140
USD"
"MARK.SPACE
(MRK)","0.006442
USD"
"Polcoin
(PLC)","0.000323
USD"
"nDEX
(NDX)","0.000027
USD"
"Photon
(PHO)","0.000019
USD"
"MNPCoin
(MNP)","0.290191
USD"
"HeroNode
(HER)","0.002134
USD"
"Version
(V)","0.000196
USD"
"ShipChain
(SHIP)","0.008416
USD"
"Iridium
(IRD)","0.014376
USD"
"ExclusiveCoin
(EXCL)","0.202166
USD"
"Archetypal Network
(ACTP)","0.000017
USD"
"Truegame
(TGAME)","0.010398
USD"
"CFun
(CFUN)","0.000904
USD"
"View
(VIEW)","0.008523
USD"
"Neurotoken
(NTK)","0.036158
USD"
"Virtacoin
(VTA)","0.000009
USD"
"HireMatch
(HIRE)","0.011154
USD"
"Repme
(RPM)","0.000020
USD"
"Coinsuper Ecosystem Network
(CEN)","0.016194
USD"
"Profile Utility Token
(PUT)","0.013455
USD"
"AiLink Token
(ALI)","0.000769
USD"
"DNotes
(NOTE)","0.019670
USD"
"Block Array
(ARY)","0.016997
USD"
"WITChain
(WIT)","0.000107
USD"
"BitDice
(CSNO)","0.051685
USD"
"FlypMe
(FYP)","0.045224
USD"
"Blocklancer
(LNC)","0.002640
USD"
"BlockCAT
(CAT)","0.092435
USD"
"EnergiToken
(ETK)","0.001680
USD"
"Knoxstertoken
(FKX)","0.005076
USD"
"White Standard
(WSD)","1.02
USD"
"FintruX Network
(FTX)","0.016814
USD"
"Nimiq
(NIM)","0.001147
USD"
"CatoCoin
(CATO)","0.148428
USD"
"Six Domain Chain
(SDA)","0.006229
USD"
"Worldcore
(WRC)","0.005480
USD"
"Linx
(LINX)","0.006823
USD"
"PrimeStone
(PSC)","0.002024
USD"
"Ragnarok
(RAGNA)","0.004264
USD"
